claim_gang,claim_url,country,date,domain,has_infostealer_info,link,summary,title,url,victim,infostealer_data.employees,infostealer_data.employees_url,infostealer_data.thirdparties,infostealer_data.update,infostealer_data.users,infostealer_data.users_url,infostealer_data.infostealer_stats.Azorult,infostealer_data.infostealer_stats.Lumma,infostealer_data.infostealer_stats.Raccoon,infostealer_data.infostealer_stats.RedLine,infostealer_data.infostealer_stats.StealC,infostealer_data.infostealer_stats.Vidar,infostealer_data.thirdparties_domain,infostealer_data.infostealer_stats.UNKNOWN,infostealer_data.infostealer_stats.CRYPTBOT,infostealer_data.infostealer_stats.Generic Stealer,infostealer_data.infostealer_stats.Atomic,infostealer_data.infostealer_stats.DarkCrystal,infostealer_data.infostealer_stats.Taurus,infostealer_data.infostealer_stats.Ficker,added,infostealer_data.infostealer_stats.Mystic,infostealer_data.infostealer_stats.Predator,infostealer_data.infostealer_stats.KPOT,infostealer_data.infostealer_stats.Redline,infostealer_data.infostealer_stats.racoon,infostealer_data.infostealer_stats.Acreed
False,False,CH,2023-01-15,ed.bs.ch,False,https://www.ransomware.live/id/ZWQuYnMuY2hAMjAyMy0wMS0xNQ==,"Des hackers ont réussi à s'introduire dans le système informatique du département de l'éducation de Bâle, en Suisse, pour voler environ 1,2 téraoctet de données. Les hackers ont tenté d'extorquer de l'argent en échange de la restitution des données, mais le département n'a pas cédé à leur demande. Les données volées comprennent des informations personnelles sur les élèves et les enseignants, des rapports d'évaluation et des bulletins de notes. Les hackers ont été identifiés comme faisant partie d'un groupe appelé ""Bianlian"", qui a déjà attaqué plus de 100 entreprises et institutions dans le monde entier. Le département de l'éducation a déposé une plainte auprès du procureur contre",Grosser Cyberangriff - Kinder betroffen: Daten des Basler Erziehungsdepartements gehackt - News - SRF,https://www.srf.ch/news/schweiz/grosser-cyberangriff-kinder-betroffen-daten-des-basler-erziehungsdepartements-gehackt,Le département de l'éducation de Bâle,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,DE,2023-01-15,spd.de,False,https://www.ransomware.live/id/c3BkLmRlQDIwMjMtMDEtMTU=,Des comptes de messagerie électronique appartenant à des membres du comité directeur du SPD ont été piratés. Les pirates ont exploité une faille de sécurité dans un serveur Exchange et ont volé des données. La piste de l'attaque mène en Russie. Les autorités allemandes ont été informées et les personnes potentiellement touchées ont été averties. Le SPD a déclaré qu'il y avait des preuves solides que les attaquants étaient russes.,Cyber-Angriff auf Mail-Konten des SPD-Parteivorstands,https://www.heise.de/news/Cyber-Angriff-auf-Mail-Konten-des-SPD-Parteivorstands-9199357.html,Le parti politique allemand SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-01-15,purfoods.com,False,https://www.ransomware.live/id/cHVyZm9vZHMuY29tQDIwMjMtMDEtMTU=,"PurFoods, un service de livraison de repas à domicile aux États-Unis, a révélé une violation de données affectant plus de 1,2 million de personnes. Selon un rapport, les pirates pourraient avoir accédé aux informations personnelles, financières et médicales des clients, y compris les noms, les numéros de compte financier et de carte de paiement, les numéros de sécurité sociale et les numéros d'identification des membres de l'assurance maladie. L'incident a eu lieu en janvier mais n'a été découvert qu'en février. PurFoods a fourni un accès gratuit d'un an à des services de surveillance de crédit pour les personnes dont les informations personnelles ont potentiellement été affectées.",US food delivery service PurFoods discloses data breach,https://therecord.media/purfoods-delivery-service-reports-data-breach,PurFoods,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-01-25,middleburg.us,False,https://www.ransomware.live/id/bWlkZGxlYnVyZy51c0AyMDIzLTAxLTI1,La ville de Middleburg a été victime d'une cyberattaque fin janvier. Un employé a eu son compte Outlook piraté par un acteur malveillant ayant tenté de se faire passer pour un fournisseur demandant un paiement à la ville. 102 personnes ont été contactées car leurs informations personnelles ont pu être compromises. La ville a travaillé avec des experts en cybersécurité pour sécuriser les informations personnelles et renforcer la sécurité de son réseau.,Middleburg Weathers Cyber Attack | Towns | loudounnow.com,https://www.loudounnow.com/news/towns/middleburg-weathers-cyber-attack/article_8661d2d8-ef79-11ed-8f7a-f7ccd5897fbe.html,Middleburg,,,,,,,,,,,,,,,,,,,,,,,,,,,
akira,https:/www.ransomware.live/id/RWRtb25kcyBTY2hvb2wgRGlzdHJpY3RAYWtpcmE=,US,2023-01-31,edmonds.wednet.edu,False,https://www.ransomware.live/id/ZWRtb25kcy53ZWRuZXQuZWR1QDIwMjMtMDEtMzE=,"Le réseau du district scolaire d'Edmonds a subi des ""activités suspectes"", ce qui a entraîné une coupure d'Internet pour les étudiants et le personnel. En conséquence, les écoles ont ouvert deux heures plus tard le mercredi matin, après que l'accès à Internet a été désactivé mardi après-midi. Les mots de passe des étudiants et du personnel ont été réinitialisés mercredi matin pour atténuer d'éventuels problèmes de sécurité supplémentaires. Une fois les services Internet rétablis, tous les employés et étudiants devront réinitialiser leurs mots de passe. L'incident est actuellement sous enquête et les détails sont limités.
","Technology issues cause late start, confusion at Edmonds schools | The Seattle Times",https://www.seattletimes.com/seattle-news/education/technology-issues-causes-late-start-confusion-at-edmonds-schools/,Edmonds School District,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,AU,2023-02-01,trogroup.at,False,https://www.ransomware.live/id/dHJvZ3JvdXAuYXRAMjAyMy0wMi0wMQ==,"La TroGroup, une entreprise autrichienne, a été victime d'une cyberattaque début février. La plupart de ses services informatiques centraux ont été temporairement indisponibles dans de nombreux sites dans le monde. La société a immédiatement activé un plan de continuité des activités pour éviter les perturbations pour ses clients et fournisseurs. Des experts en forensique numérique ont été engagés pour analyser les systèmes touchés et la police a été informée. Les systèmes touchés ont été restaurés à l'aide de sauvegardes et la communication a été gérée avec précaution pour ne pas compromettre l'enquête. Attaque revendiquée par LockBit 3.0 le 14 mai 2023.",TroGroup wurde Ziel eines Cyber-Angriffs | TroGroup,https://www.trogroup.com/de/news/trogroup-cyberangriff/,TroGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-02-11,burton.com,False,https://www.ransomware.live/id/YnVydG9uLmNvbUAyMDIzLTAyLTEx,Burton Snowboards a confirmé une violation de données après une cyberattaque en février. Des informations sensibles de clients ont été potentiellement consultées ou volées. L'attaque a été découverte après une panne système et l'annulation de commandes en ligne. Des experts externes ont été embauchés pour enquêter sur l'incident. Les mots de passe des comptes liés aux clients affectés ont été réinitialisés.,Burton Snowboards discloses data breach after February attack,https://www.bleepingcomputer.com/news/security/burton-snowboards-discloses-data-breach-after-february-attack/,Burton Snowboards,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackbasta,https:/www.ransomware.live/id/R2F0ZXMgQ29ycG9yYXRpb25AYmxhY2tiYXN0YQ==,US,2023-02-11,gates.com,False,https://www.ransomware.live/id/Z2F0ZXMuY29tQDIwMjMtMDItMTE=,"Le 11 février 2023, Gates a déterminé qu'elle était la cible d'une attaque de logiciels malveillants. Les dépenses liées à l'incident de cybersécurité comprennent les frais juridiques, de conseil et autres frais encourus en conséquence directe de cet incident, dont certains peuvent être partiellement compensés par des remboursements d'assurance.",Gates Industrial Reports First-Quarter 2023 Results,https://www.prnewswire.com/news-releases/gates-industrial-reports-first-quarter-2023-results-301815551.html,Gates Industrial Corporation plc,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-02-12,sweetwaterschools.org,False,https://www.ransomware.live/id/c3dlZXR3YXRlcnNjaG9vbHMub3JnQDIwMjMtMDItMTI=,"Le district scolaire Sweetwater Union a confirmé qu'une cyberattaque avait causé une panne de système de plusieurs jours en février. Les données personnelles des employés, des étudiants et des familles ont été compromises. L'attaque a été découverte en mai et le district a mis en place des mesures de protection supplémentaires. Les enseignants ont signalé une augmentation des spams et des appels téléphoniques frauduleux depuis l'attaque. Le district n'a pas précisé comment les personnes concernées seraient informées de l'attaque.",Sweetwater Union District confirms data breach caused system outages in February,https://www.10news.com/news/local-news/south-bay-news/sweetwater-union-high-school-district-confirms-data-breach-caused-outages-in-february,Sweetwater Union High School District,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-02-17,skidmore.edu,False,https://www.ransomware.live/id/c2tpZG1vcmUuZWR1QDIwMjMtMDItMTc=,"Le 15 septembre 2023, le Skidmore College a signalé une violation de données suite à une cyberattaque par rançongiciel, permettant à une partie non autorisée d'accéder à des informations sensibles, y compris les noms et numéros de sécurité sociale des individus. Après avoir terminé son enquête, le collège a commencé à envoyer des lettres de notification de violation de données à toutes les personnes dont les informations ont été affectées. Les attaques par rançongiciel sont de plus en plus courantes et même si une organisation paye une rançon, il n'y a aucune garantie que les données volées ne seront pas divulguées. Le 17 février 2023, Skidmore a été alerté d'une activité suspecte dans ses systèmes","Skidmore College Confirms Recent Ransomware Attack Resulted in Data Breach Affecting Personal Data of 121k | Console and Associates, P.C. - JDSupra",https://www.jdsupra.com/legalnews/skidmore-college-confirms-recent-6438827/,Skidmore College,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphv,https:/www.ransomware.live/id/TGF3IEZvdW5kYXRpb24gb2YgU2lsaWNvbiBWYWxsZXlAYWxwaHY=,US,2023-02-18,lawfoundation.org,False,https://www.ransomware.live/id/bGF3Zm91bmRhdGlvbi5vcmdAMjAyMy0wMi0xOA==,"Une attaque sophistiquée de ransomware a touché un groupe de défense du logement à San Jose, affectant plus de 40 000 clients et employés. Les données exposées comprennent les numéros de sécurité sociale et d'immigration, les dossiers médicaux et les informations financières. L'attaque a été attribuée à un groupe appelé ""ALPHV"" qui cible le secteur de la santé. Aucun client n'a signalé une utilisation malveillante de leurs informations jusqu'à présent. Des mesures de sécurité supplémentaires ont été mises en place pour prévenir de futures attaques. C'est la deuxième attaque de grande envergure à San Jose en deux mois, après celle qui a touché le Santa Clara Family Health Plan.",San Jose nonprofit that serves low-income residents impacted by ransomware attack,https://www.mercurynews.com/2023/06/27/san-jose-nonprofit-that-serves-low-income-residents-impacted-by-ransomware-attack/,Law Foundation of Silicon Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,
snatch,https:/www.ransomware.live/id/R2FzdG9uIENvbGxlZ2VAc25hdGNo,US,2023-02-22,gaston.edu,False,https://www.ransomware.live/id/Z2FzdG9uLmVkdUAyMDIzLTAyLTIy,Le Gaston College a été victime d'une attaque de ransomware en février. Le pirate a accédé à des fichiers contenant des informations personnelles des employés. Le président du collège a envoyé un e-mail interne pour informer les employés de la situation et les inciter à souscrire à une surveillance de crédit. Le groupe Snatch divulgue les données volées depuis début avril 2023.,Hacker committed ransomware attack on Gaston College,https://eu.gastongazette.com/story/news/local/2023/05/09/hacker-committed-ransomware-attack-on-gaston-college/70189362007/,Gaston College,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-02-27,bclplaw.com,False,https://www.ransomware.live/id/YmNscGxhdy5jb21AMjAyMy0wMi0yNw==,"Le cabinet d'avocats Bryan Cave Leighton Paisner a été victime d'une cyberattaque en février 2023. Cette attaque a exposé les données personnelles de plus de 50 000 employés actuels et anciens de Mondelēz International, une entreprise de snacks. Les informations volées comprenaient les dates de naissance, les numéros de sécurité sociale et les adresses personnelles des employés. Le cabinet a lancé une enquête robuste avec l'aide d'une entreprise de cybersécurité externe et a informé les autorités compétentes. La société Mondelēz a déclaré que l'incident ne s'était pas produit sur ses systèmes et n'a pas affecté l'entreprise de quelque manière que ce soit.",Bryan Cave Hit by Cyberattack Involving Client Mondelez’s Data,https://news.bloomberglaw.com/business-and-practice/bryan-cave-hit-by-cyberattack-involving-client-mondelezs-data,Bryan Cave Leighton Paisner,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,CA,2023-03-03,uniboard.ca,False,https://www.ransomware.live/id/dW5pYm9hcmQuY2FAMjAyMy0wMy0wMw==,L'entreprise Uniboard Canada a été victime d'une cyberattaque le 3 mars dernier. Des données personnelles des employés ont été exfiltrées. La société a pris des mesures pour protéger ses systèmes informatiques et offrira des services de surveillance du crédit et de protection contre le vol d'identité pendant trois ans. Les cyberattaques visent de plus en plus les données personnelles des salariés. La sensibilisation des employés est la première protection pour les entreprises contre les attaques.,Uniboard Canada aurait été victime d'une cyberattaque,https://nouvelles-dujour.com/uniboard-canada-aurait-ete-victime-dune-cyberattaque/,Uniboard Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,DE,2023-03-03,fsg.de,False,https://www.ransomware.live/id/ZnNnLmRlQDIwMjMtMDMtMDM=,"Les chantiers navals FSG et Nobiskrug ont été victimes d'une cyberattaque. Tous les systèmes informatiques ont été isolés et les autorités ont été informées. Les chantiers sont de nouveau opérationnels. Aucune rançon n'a été versée. Lürssen, un autre constructeur naval, a également été victime d'une cyberattaque récemment.",Cyberangriff auf Werften FSG und Nobiskrug - Hamburger Abendblatt,https://www.abendblatt.de/hamburg/article238145417/Cyberangriff-auf-Werften-FSG-und-Nobiskrug.html,Chantiers navals FSG et Nobiskrug,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunghill,https:/www.ransomware.live/id/U3lzY28gQ29ycG9yYXRpb25AZHVuZ2hpbGw=,US,2023-03-05,sysco.com,False,https://www.ransomware.live/id/c3lzY28uY29tQDIwMjMtMDMtMDU=,"Sysco, une entreprise de distribution alimentaire mondiale, a été victime d'une cyberattaque. Des données sensibles, incluant des informations sur les clients, les fournisseurs et les employés, ont été volées. L'attaque a commencé le 14 janvier 2023 et a été découverte le 5 mars 2023. Les données volées incluent des informations personnelles telles que les noms, les numéros de sécurité sociale et les numéros de compte. Sysco a engagé une entreprise de cybersécurité pour enquêter sur l'incident et a informé les autorités fédérales.",Food distribution giant Sysco warns of data breach after cyberattack,https://www.bleepingcomputer.com/news/security/food-distribution-giant-sysco-warns-of-data-breach-after-cyberattack/,Sysco,,,,,,,,,,,,,,,,,,,,,,,,,,,
abyss,https:/www.ransomware.live/id/YmllbnZpbGxlb3J0aG8uY29tQGFieXNz,US,2023-03-05,bienvilleortho.com,False,https://www.ransomware.live/id/YmllbnZpbGxlb3J0aG8uY29tQDIwMjMtMDMtMDU=,"Bienville Orthopaedic Specialists (BOS), une entreprise basée sur la côte du Golfe du Mississippi, fait face à une éventuelle action collective après une cyberattaque sur ses systèmes informatiques plus tôt cette année. Sept actions collectives ont été déposées contre BOS, initiées par des patients actuels et anciens, et pourraient impliquer environ 242 986 membres si le statut d'action collective est accordé. Les données compromises incluent les noms, numéros de sécurité sociale, informations médicales, informations sur l'assurance maladie, noms d'utilisateur et mots de passe, informations sur les comptes financiers et numéros de permis de conduire.
",Bienville Orthopaedic Specialists Sued Over Data Breach | Orthopedics This Week,https://ryortho.com/breaking/bienville-orthopaedic-specialists-sued-over-data-breach/,"Bienville Orthopaedic Specialists, LLC (BOS)",,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-03-06,americanbar.org,False,https://www.ransomware.live/id/YW1lcmljYW5iYXIub3JnQDIwMjMtMDMtMDY=,"Le réseau informatique de l'American Bar Association a été compromis par un tiers non autorisé. Les noms d'utilisateur et les mots de passe des membres ont été obtenus. Les mots de passe étaient ""hashés"" et ""salés"", ce qui signifie qu'ils étaient cryptés. Les membres sont encouragés à changer leurs mots de passe et à rester vigilants contre toute tentative d'accès non autorisé. L'ABA a pris des mesures pour réduire la probabilité d'une future cyberattaque.","American Bar Association network compromised, member data leaked to third party | Wisconsin Law Journal - WI Legal News & Resources",https://wislawjournal.com/2023/04/20/american-bar-association-network-compromised-members-data-leaked-to-third-party/,American Bar Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-03-07,creditcontrolcorp.com,False,https://www.ransomware.live/id/Y3JlZGl0Y29udHJvbGNvcnAuY29tQDIwMjMtMDMtMDc=,"Une cyberattaque a eu lieu entre le 2 et le 7 mars et a touché les comptes de recouvrement de dettes des hôpitaux et des cabinets médicaux locaux. Les fichiers volés contenaient des informations personnelles telles que les noms, adresses, numéros de sécurité sociale et autres informations de compte. Les partenaires commerciaux ont été informés et les personnes touchées ont été notifiées. Les breaches dans l'industrie de la santé sont courantes et peuvent être causées par des systèmes obsolètes ou des erreurs utilisateur. Les consommateurs peuvent prendre des mesures préventives en contactant leurs banques et en mettant en place des mesures de sécurité.",Hospitals and doctors in Va. may be impacted by data breach | 13newsnow.com,https://www.13newsnow.com/article/money/consumer/data-breach-may-impact-many-virginia-hospitals-and-doctors-offices/291-ffbe89e8-dd54-43de-af1c-ca3260d6138f,Credit Control Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
karakurt,https:/www.ransomware.live/id/T3VyIFN1bmRheSBWaXNpdG9yQGthcmFrdXJ0,US,2023-03-08,osv.com,False,https://www.ransomware.live/id/b3N2LmNvbUAyMDIzLTAzLTA4,"Le journal catholique ""Our Sunday Visitor"" a subi une cyberattaque. Des données sensibles de ses abonnés ont été exposées. Le journal a lancé une enquête et contacté les autorités. Les informations exposées incluent des données personnelles et financières. Le journal prévoit d'envoyer des notifications aux personnes affectées et donne des conseils pour se protéger. Le groupe Karakurt aura attendu fin avril pour revendiquer l'attaque. Depuis le 3 mai, il menace activement de diffuser les données volées.",Catholic Paper Suffers Data Breach 05/08/2023,https://www.mediapost.com/publications/article/385137/catholic-paper-suffers-data-breach.html,Our Sunday Visitor (OSV),,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,US,2023-03-09,cumminsbhs.org,False,https://www.ransomware.live/id/Y3VtbWluc2Jocy5vcmdAMjAyMy0wMy0wOQ==,"Entre le 2 février et le 9 mars de cette année, Cummins Behavioral Health Systems (CBHS), une organisation à but non lucratif basée en Indiana, a été victime d'une cyberattaque. L'incident a été découvert lorsque CBHS a trouvé une note de rançon dans leur système le 9 mars, sans aucune donnée chiffrée. Les informations potentiellement accessibles comprenaient les noms, adresses, dates de naissance, numéros de permis de conduire, numéros de sécurité sociale, informations financières, informations de carte de paiement, noms d'utilisateur et mots de passe, informations d'assurance santé et informations médicales.",IN: Cummins Behavioral Health Systems discovers cyberattack when it finds ransom note,https://www.databreaches.net/in-cummins-behavioral-health-systems-discovers-cyberattack-when-it-finds-ransom-note/,Cummins Behavioral Health Systems (CBHS),,,,,,,,,,,,,,,,,,,,,,,,,,,
