Word-sentence,count
"Orrick, Herrington & Sutcliffe Sued Over Ransomware Attack and Data Breach",1
"Petaluma Health Center Files Official Notice of Data Breach Following Recent Cyber-Incident | Console and Associates, P.C. - JDSupra",1
La mairie de Mont-Saint-Martin cible d'une cyberattaque | Les Frontaliers,1
"A cyberattack on our newsroom, a fire at the printer",1
Werder Bremens neuer Sponsor Matthäi Opfer von Hackerangriff - buten un binnen,1
Jefferson County Schools victim of ransomware attack - al.com,1
"Maimondes Medical Center notifies 33,000 patients of hacking incident",1
Cyber-attaque du réseau informatique de la mairie - Mairie de Peisey-Nancroix,1
Gobierno de Yucatán recupera sus páginas de internet tras ciberataque,1
Ljudinspelningar kan ha läckt till cyberkriminella,1
Notice of Data Security Incident at Onix Group LLC,1
Healthcare Business Associate Data Breach Impacts 320K,1
Vodafone Callya: Ausfall von Onlinesystemen nach Angriff auf Materna | heise online,1
Daviess Community Hospital Investigating Potential Cyberattack,1
Charity data stolen in ransomware attack on supplier | Computer Weekly,1
"En direct | Alpes-de-Haute-Provence : après le piratage du système informatique, la mairie de Barcelonnette fonctionne | La Provence",1
Kyocera AVX suffered an alleged LockBit ransomware attack,1
Canadian Nurses Association hit by cyber attack | IT World Canada News,1
"La fédération néerlandaise de football victime d'une cyberattaque: ""Malgré notre système de sécurité"" | RTL Info",1
'IT Outage' forces several systems offline at Mercer University | WGXA,1
Câmara Municipal de Oliveira do Hospital foi alvo de ataque informático - Computadores - SAPO Tek,1
Nach Hackerangriff: ZBW bekommt Lösegeldforderung | NDR.de - Nachrichten - Schleswig-Holstein,1
Cyberangriff auf BERNINA International AG,1
Henrietta Johnson Medical Center patients affected by breach at Delaware Health Network,1
Cyber Attack on Evotec,1
"""Alguns sites"" do Ministério da Economia foram alvo de ataque informático",1
Enzo Biochem Hit with Ransomware,1
"SD Worx shuts down UK payroll, HR services after cyberattack",1
Hackerangriff auf Lürssen-Werft legt Betrieb teilweise lahm | NDR.de - Nachrichten - Niedersachsen - Studio Oldenburg,1
Rochester Public Schools to close Monday after possible cyber attack,1
Cyberattack on Insurance Information Bureau of India; data at risk,1
Une cyberattaque vise le principal centre hospitalier de l'Ain : continuité des soins assurée,1
"Enzo Biochem Hit by Ransomware, 2.5 Million Patients' Data Compromised - Infosecurity Magazine",1
"NCR's Aloha POS hit with cyberattack, causing headaches for restaurants",1
Latitude cyber-attack: Cybercriminals demand ransom - NZ Herald,1
"Cybersécurité : à Villers-Cotterêts, le groupe Volkswagen France victime d’un "" incident """,1
Cornwall Community Hospital - Notice to Patients of Cybersecurity Incident,1
【セキュリティ ニュース】サーバやPCがランサム感染、データが閲覧不能に - サンケイアイ（1ページ目 / 全1ページ）：Security NEXT,1
Necenzurirano.si - Prve ugotovitve glede kibernetskega napada na zunanje ministrstvo,1
"Ransomware Attack Hits Marinette Marine Shipyard, Results in Short-Term Delay of Frigate, Freedom LCS Construction - USNI News",1
Kansas healthcare company hit by ransomware,1
Cornwall Community Hospital experiencing cyber incident | The Kingston Whig Standard,1
"SSPC: ""Se contiene ataque cibernético a Conagua"" | El Heraldo de México",1
Iowa hospital discloses breach following Royal ransomware leak | TechTarget,1
Emisoras de Caracol Radio sufrieron ataque cibernético,1
Isère. Suspicion de cyberattaque au Sdis : les données de 4 500 personnes âgées exposées,1
Cybercrime: Hacker legen Produktion von Wildeboer lahm | NDR.de - Nachrichten - Niedersachsen - Studio Oldenburg,1
Rheinmetall Opfer von Cyberangriff - auch Tochterunternehmen betroffen,1
Culbertson Hospital Systems Hit With Cyber Attack - WLDS,1
Gateway casinos to remain closed after cyber attack: officials - Bradford News,1
"Landes : soupçons de cyberattaque à la mairie de Morcenx-la-nouvelle, tous les serveurs indisponibles",1
Arequipa: Reportan ataque cibernético al sistema de Seal | EDICION | CORREO,1
Le groupe Gambetta est victime d'une cyberattaque impliquant le ransomware Play.,1
Cyberattaque : Vocalcom confronté au ransomware Play | LeMagIT,1
Vaud: Infolog et ses clients ont été victimes d’un hacking - 20 minutes,1
Bobst a réussi à déjouer deux cyberattaques ciblées - Le Temps,1
Banco de Venezuela sufre ataque cibernético | NTN24.COM,1
Peachtree Orthopedics alerts patients to cyberattack; third patient data breach in seven years,1
"RWS victime d'une cyberattaque mais affirme que l'impact est ""immatériel"" | Zonebourse",1
Montana State University gives update on cyberattack,1
Le groupe Anton Paar est actuellement la cible d'une cyberattaque,1
Northeast Behavioral Health Care Consortium hit by cyber attack | Cops and Courts | standardspeaker.com,1
CANAL 5 AYER ESTUVO TODO EL DÍA SIN INTERNET: SERÍA UN NUEVO ATAQUE CIBERNÉTICO,1
Data leaked from Open University is encrypted - police | in-cyprus.com,1
Nutresa confirma que está siendo víctima de posible ataque cibernético | Empresas | Negocios | Portafolio,1
Ortenau Hackerangriff auf Badische Stahlwerke in Kehl Nachrichten der Ortenau - Offenburger Tageblatt,1
"Medical center victim of cyber 'criminal attack,' closes for 2 days",1
Saxon: Cyberattacke auf die Vormundschaftsbehörde - Kantonspolizei Wallis,1
Tankopslagbedrijf Vopak getroffen door Russische cyberaanval,1
National Gallery says it's 'recovering' following ransomeware attack | Ottawa Citizen,1
Transport Online - Zwijndrechtse woningcorporatie Woonkracht10 betaalt losgeld na cyberaanval,1
"Vantage Travel cancels trips, blames data security incident - CBS Boston",1
Storing SKP blijkt cyberaanval - Het laatste nieuws uit Pijnacker-Nootdorp,1
Digi sufre un ciberataque que compromete a los clientes,1
Cyberangriff auf IT-Netz des Klinikums Hochsauerland - Ermittelungen laufen,1
Naivas confirms ransomware attack on its data,1
PAIEMENT ASLH DES VACANCES ET PRESTATIONS DE JUIN 2023 | Ville du Robert,1
Attempted cyber attack responsible for 3-week Newport News library computer outage,1
Attacco informatico alla Multimedica: Pronto soccorso di Milano e Sesto San Giovanni bloccati,1
Vent de panique à l’Union africaine après une nouvelle cyberattaque,1
Truman State University works to restore services after reported cyberattack,1
Le Groupe Cloutier confronté à une violation de données,1
Cyber attack on Lowell City Hall's network,1
Curry County systems down following ransomware attack | Local | kdrv.com,1
Cyberattack hits a third of Americold’s facilities | SeafoodSource,1
Coca-Cola Femsa reporta que sufrió ataque cibernético,1
Exklusiv: Größter IT-Dienstleister der Krankenkassen bestätigt Cyberangriff,1
Cyber-attack hits ticketing service of UPSRTC,1
Vendée : pourquoi ce casino est fermé depuis dimanche ?,1
NBC 10 I-Team: Cyberattack targets North Kingstown government computers,1
"""Il n'était pas question de payer la moindre rançon"" : une Corrézienne raconte comment son entreprise a été ciblée par des hackers - Brive-la-Gaillarde (19100)",1
Efter misstänkt cyberattack - Visma recruit ligger nere | Mölndals-Posten,1
"Alto Calore, attacco hacker alla centrale",1
Hardenhuish School in Chippenham hit by cyber attack - BBC News,1
South Carolina: Ransomware attack Spartanburg County,1
Mission Community Hospital attackers exploited vulnerabilites in Paragon and Cisco,1
Hawa Sliding Solutions AG: Cyber-Attacke führt zu Einschränkungen - MÖBELMARKT,1
INTA sufre un ataque cibernético que afecta sus servicios informáticos - El Litoral,1
Dental group with four central Iowa locations is victim of cyberattack,1
Vincera Institute Reports Potential Patient Data Breach Due to Ransomware Attack,1
Ransomware : CAFPI a été attaqué fin avril par Vice Society | LeMagIT,1
Internet outage compromising WSU students - KAKE,1
Ransomware Event,1
Cyber attack at Bluefield University leads to postponed finals,1
Nashua School District hit by 'sophisticated' cyberattack,1
Mission Community Hospital Alerts Patients About May 2023 Cyberattack,1
Data breach of network with Northwell Health patient info - Newsday,1
Possible cyber attack hampering Dallas police operations - CBS Texas,1
Disagi alla Asl 1 Avezzano Sulmona L'Aquila per il blocco dei server - Rete8,1
Cyberattack closes public charter school in Asheville | WLOS,1
[Status Report] About the results of the investigation of ransomware damage,1
Handelsmarkenhersteller: Cyber-Erpresser legen Maxim lahm,1
Payment software giant AvidXchange suffers its second ransomware attack of 2023,1
Confirmaron ataque cibernético a la plataforma SECOP II - Infobae,1
Cyber attack compromises hospital data,1
Raleigh Housing Authority cyber-attack | Cyberattack shuts down Raleigh Housing Authority computer systems - ABC11 Raleigh-Durham,1
Multinational tech firm ABB hit by Black Basta ransomware attack,1
"Explained: The ransomware attack on BSI, Indonesia's largest Islamic bank | Coconuts",1
Deconstructing a Cybersecurity Event | Dragos,1
Ataque cibernético paralisa sistemas do Tribunal Superior do Trabalho,1
"Fleury (FLRY3) identifica ataque cibernético em seu sistema na noite de domingo - São Bento em Foco - São Bento, Paraíba, Brasil e o Mundo",1
Norton Healthcare working to restore network after cyber attack,1
Sufre ataque cibernético alcaldía de Tulancingo,1
Suzuki Motorcycle India plant shut for a week due to cyber-attack | Autocar Professional,1
La Universidad de Zaragoza sufre un ciberataque que no ha causado ninguna afección importante,1
Seacom hit by cyber attack,1
ERP firm TechnologyOne faces cyber attack - InfotechLead,1
Chatt State Suffering from Cyber Attack - WDEF,1
Richmond University Medical Center suffers ransomware attack; unclear if patient info compromised - silive.com,1
Notice of data breach,1
Cyberattaque limitée contre visumPOINT GmbH,1
jhm | Le groupe Vitrey victime d'une cyberattaque de grande ampleur,1
"Hospital falls prey to ransomware attack, hackers demand $70,000 | Ahmedabad News, The Indian Express",1
Lacroix Electronics : victime collatérale de la cyberattaque contre Group DIS | LeMagIT,1
Vermuteter Cyber-Angriff: Bremer Kliniken seit Mittwoch ohne Internet | heise online,1
Le SMDEA victime d'une cyber attaque de grande ampleur : face au vol de données les usagers doivent être vigilants - La Gazette Ariégeoise,1
ScanSource says ransomware attack behind multi-day outages,1
Philadelphia Inquirer continues response to cyberattack that disrupted publication,1
Mögliche Cyberattacke auf Chemnitzer Nahverkehr | Sächsische.de,1
"Cleveland, OH: cyberattack, law firm strikes deal with ransomware group BlackBasta for $150,000",1
Patients concerned after local allergy clinic closes its doors because of alleged data breach,1
Western Nebraska bank locks down servers because of suspected cyberattack | National News | kpvi.com,1
Voyageurs du Monde: Attaque cyber contenue chez Voyageurs du Monde | Zonebourse,1
Cyberattaque : le site internet de la CTM inaccessible suite à un piratage informatique,1
Ogden Dunes believes it was hit by a cyber attack - Chesterton Tribune,1
Cyber attack at NOSM U forces staff and students to stay home - Sudbury News,1
"The Downs School, hit by possible cyber attack, seeking help from West Berkshire Council, the Department for Education and cyber security experts",1
Franklin County Public Schools hit by ransomware attack,1
Another hospital hit by ransomware: Columbus Regional Healthcare System in North Carolina hit by Daixin,1
A false email to an official made it possible to start the cyber attack on the City Council of Cangas - Time News,1
"Bloomfleet avverte gli interessati di un incidente di sicurezza informatica: ""Stiamo effettuando ulteriori verifiche""",1
Werkstattkette ATU wird Opfer von Cyberangriff | Automobilwoche.de,1
"Cyberangriff auf ""Heidenheimer Zeitung"" und ""Südwest Presse""? - SWR Aktuell",1
MO: ‘Cyber attack’ hits Reeds Spring schools. Data breach includes Social Security numbers,1
Ransomware-Attacke: Hosted Exchange von United Hoster offline | heise online,1
Notification of Security Compromise | Development Bank of Southern Africa,1
Black Basta attackiert bekannte Schweizer Aviatik-Firma – Cyberangriff wirft Fragen auf,1
Mayor Johnson confirms cyber attack on Augusta computer systems | WJBF,1
Thomas Hardye School in Dorchester hit by cyber attack | Dorset Echo,1
Madhya Pradesh News: MP power mgmt co hit by ransomware | Bhopal News - Times of India,1
Ransomware : Alphv/Black Cat revendique une cyberattaque contre Mazars | LeMagIT,1
"Une cyberattaque hors norme frappe la Suisse, touchant l’armée et de nombreuses polices - Le Temps",1
Going dark: Cyber attack on Western Cape parliament downs ICT systems | News24,1
Bargeldlieferant für Bankomaten von Cyberangriff betroffen,1
May 2023 Data Security Incident Public Notice,1
La Cordée victim of a “cyber incident” | Wire News,1
Saint-Brevin les Pins : la mairie victime d'une cyberattaque | Le Courrier du Pays de Retz,1
Acispes sofre ataque cibernético,1
"Proliance Surgeons notifying 437,392 patients after ransomware attack earlier this year",1
Paracetamol maker Granules India flags significant operations hit from cyber attack - FBC News,1
Düsseldorf - Schwerer Hackerangriff auf die Uni Düsseldorf,1
Medford Radiology Group victims of cybersecurity event - KOBI-TV NBC5 / KOTI-TV NBC2,1
Doubs : la mairie de Mandeure est la cible d'une cyberattaque,1
"Les sites de Namur et d’Auvelais du CHR victimes d’une cyberattaque: ""Seuls les cas les plus graves des urgences sont pris en charge""",1
Declaración del Ejército por ataque cibernético - AdPrensa - agenda de prensa,1
La mairie de Cerizay victime d’une cyberattaque,1
Berner IT-Dienstleister Opfer eines Cyberangriffs,1
Hackerangriff auf Stadtverwaltung von Bad Langensalza: Systeme lahmgelegt,1
Tegma (TGMA3) Sofre Ataque Cibernético | TheCap,1
"Local clinic closes following cyberattack, hospital redirects emergency services - East Idaho News",1
Elite Melbourne school Loreto College hit by cyber attack,1
Superintendent confirms Middlesex County Public Schools hit with ransomware attack,1
Data Security Updates - University of Rochester,1
La Fédération professionnelle des journalistes du Québec victime d’une cyberattaque | Le Devoir,1
"Fenz IT supplier hit by cyberattack, emergency services not affected - NZ Herald",1
"Une filiale du groupe Bolloré victime de cyberattaque, des documents confidentiels en ligne - Numerama",1
Cyber-Angriff: IT der Deutsche Leasing seit Samstag offline | heise online,1
Bibliotheek Gouda doelwit van ransomware-aanval - VPNGids.nl,1
La Nouvelle-Écosse enquête sur une fuite de données potentielle en lien avec MoveIt | L’actualité,1
Mayberry Investments targeted in cyberattack | Loop Jamaica,1
"British Airways, BBC and Boots staff hit in major payroll cyber attack 'linked to Russia' - LBC",1
"Hacker steals luxury retailer Cortina Watch’s data, including customer details | The Straits Times",1
Il colosso delle gru dice no al ricatto della cybergang: un milione di file riservati finisce nel dark web | Corriere.it,1
School forced to close after cyber attack | Cambridge Network,1
Vaud Promotion | Vaud Promotion victime d’une attaque informatique,1
"Criminal Group Strikes Montclair with Cyber Attack, Mayor Says - Baristanet",1
"Notification of Ransomware Incident | News Release：2023 | Eisai Co., Ltd.",1
Master Builders: Cybersecurity incident being investigated - NZ Herald,1
La commune vaudoise de Bex touchée par une cyberattaque | ICTjournal,1
L'université Aix-Marseille victime d'une importante cyberattaque,1
"AIIMS under cyber attack, hosp says no services hit | Delhi News - Times of India",1
Fédération Française de Rugby : la cyberattaque remonte au début du mois de juin | LeMagIT,1
Grupo Luís Simões alvo de ciberataque reivindicado na Dark Web - Expresso,1
Cyber attack raises concerns about personal data access - Richmond News,1
Attacco informatico all'italiana Bennet. Nessun rischio per i dati dei clienti,1
"FirstBank Puerto Rico Announces Data Breach After Cyberattack at MIAC | Console and Associates, P.C. - JDSupra",1
A cyber threat shut down some of the city of Fayetteville services,1
Labor Burgenland wurde Opfer eines Cyberangriffs - Netzpolitik - derStandard.at › Web,1
The University of Manchester hit by cyber security breach after detecting 'unauthorised activity' - Manchester Evening News,1
Hacker greifen Hochschule Kaiserslautern an - Studenten betroffen - SWR Aktuell,1
Eftpos provider Smartpay suffers ransomware attack,1
SFA Computer Systems Victim Of Cyber-Attack - EastTexasRadio.com,1
"JamaicaEye reports cyberattack, CCTV footage 'not compromised' - Gov't | News | Jamaica Gleaner",1
Haynes International Announces Network Outage,1
Niedersachsen und Bremen: Hacker-Angriff beim Medizinischen Dienst,1
Cyber attack may have exposed SLO County Office of Education employee data,1
UH investigating ransomware incident at Hawaiʻi CC | University of Hawaiʻi System News,1
King County Sheriff's Office struggling after 'security incident' - MyNorthwest.com,1
Lumberton ISD officials report cyberattack | The Examiner |,1
School community OSG Hengelo closes deal with hackers after ransomware attack - Ruetir,1
Le groupe Brunswick visé par une cyberattaque,1
Cyberattacke auf die Gemeinde Hülben: Das bedeutet der Ausfall für Verwaltung Bürger | Südwest Presse Online,1
Plus de 5 jours de dysfonctionnement du système de paiement - METROPOLE,1
West Jordan City - Cyber Security Incident - West Jordan City,1
"Napoli, attacco hacker al centro diagnosi: chiesto il riscatto per i dati rubati",1
Cyberangriff auf das Helmholtz-Zentrum Berlin (HZB) - HZBblog,1
Valley News - Ransomware attack hits Lebanon schools,1
Statement in Light of Cybersecurity Incident - Yamaha - Canada - English,1
Statement in Light of Cybersecurity Incident - Yamaha Corporation,1
Coen Hagedoorn Bouwgroep informeert huurders over datalek - Security.NL,1
"GRAN SASSO ACQUA, SVENTATO ATTACCO HACKER. PICCININI: ""BENE SISTEMI SICUREZZA, LIMITATI DISAGI"" | Ultime notizie di cronaca Abruzzo - AbruzzoWeb",1
Cyberangriff ist Ursache für die technische Störung bei der Rheinische Post Mediengruppe. | turi2,1
Cafam enfrenta ataque cibernético y limitaciones en sus servicios,1
Major cyber attack on the country’s Automated Check Clearing System ‘NIFT’ GeoTv News | Geo Tv News,1
"Baxter County Sheriff’s Office says hackers accessed systems, took data | KLRT - FOX16.com",1
"Padova, la Blowtherm di Peghin colpita dagli hacker. Rete bloccata, si teme l’estorsione - Il Mattino di Padova",1
Municipio de Trujillo Alto sufre ataque cibernético - El Nuevo Día,1
"INDAP, del Ministerio de Agricultura de Chile, está reportando un incidente de seguridad",1
"Près d’Angers, une mairie victime d’une cyberattaque",1
Colorado Department of Higher Education Provides Notice of Data Incident | Higher Education,1
当社サーバへの不正アクセスに関するご報告とお詫び | KAMIJO 上條器械店,1
El Ayuntamiento de Arganda denuncia ante la Guardia Civil el ciberataque sufrido en sus servidores - Diario de Arganda,1
Hackerský útok na Univerzitu Mateja Bela: Aké dáta chcú hackeri zverejniť a čo sa deje,1
WARNING WARNING WARNING,1
Délibération du conseil municipal d'Ornex,1
Le CHU de Rennes visé par une cyberattaque | Le Télégramme,1
Hairdresser chain Peter Mark hit by cyberattack,1
Intrusion dans les systèmes d’information de la ville | Ville de Saint-Martin-lez-Tatinghem,1
L'arrêt des systèmes des courtiers en douane entraîne des retards aux frontières - Transport Routier,1
iTWire - Personal data leaks as Perpetual hit by ransomware attack,1
Atentos: El Operador Catastral Valle sufrió un ataque cibernético; ¿cuáles son los servicios que están suspendidos?,1
Massiver Cyberangriff gegen Tschechischen Rundfunk nach Ukraine-Konferenz | Radio Prague International,1
Suncor Energy Responds to Cyber Security Incident,1
Olsztyn sparaliżowany przez atak hakerski - Olsztyn,1
L’Administration régionale Kativik victime d’une intrusion informatique | Radio-Canada.ca,1
L'azienda italiana Runner.it emette un comunicato riportando che ad essere colpito è stato il server di collaudo e non quello di esercizio,1
Virbac : Cyber attack on several sites,1
"Econsult suffers ransomware attack, exposing personal data",1
Alexandria Library regaining some online services after week-long outage | ALXnow,1
Cyberattaque : une rançon de 70 millions de dollars demandée à TSMC | LeMagIT,1
Cyber attack stopped | News | montgomeryherald.com,1
Santa Rosa radio stations knocked off air by cyberattack,1
EQS-Adhoc: Schwälbchen Molkerei Jakob Berz AG: IT-Sicherheitsvorfall • news • onvista,1
Attacco informatico all'Università degli Studi di Salerno. Rischio di fuoriuscite di dati sensibili,1
"À Saint-Renan, le centre hospitalier "" Le Jeune "" victime d’une cyberattaque | Le Télégramme",1
Scottish university UWS targeted by cyber attackers - BBC News,1
"""Nos systèmes ont été HS durant plusieurs heures"" : une cyberattaque ""très violente"" contre l'aéroport de Montpellier - midilibre.fr",1
Attaque informatique malveillante sur les systèmes d’information de la Ville et de l’Agglomération d’Agen - ladepeche.fr,1
Ohio History Connection hit with ransomware attack | WOSU News,1
Notice of Data Incident | North Mississippi Health Services,1
名古屋港でシステム障害 港運協会に脅迫文、サイバー攻撃か：時事ドットコム,1
Roys of Wroxham hit by suspected ransomware attack | Eastern Daily Press,1
Mutmaßlicher Hackerangriff: Sorge um Daten von Arbeitslosen | Tiroler Tageszeitung - Aktuelle Nachrichten auf tt.com,1
Sale temps pour le site Meteolux ! | Les Frontaliers,1
"Attacco hacker a un ospedale di Napoli, chiesto un riscatto - Campania - ANSA.it",1
Election Commission Issues Cyber Security Alert After Ransomware Attack,1
Detection of cyber-attack on Attorney General's network - Trinidad Guardian,1
"Jackson Township, cyber experts work on computer network 'incident'",1
"La maison Mercier, à Baugy, victime d'une cyberattaque - Baugy (18800)",1
La Diputación Provincial de Zaragoza sufre un ciberataque,1
Ventia takes systems offline to contain cyber attack - Security - iTnews,1
Cyber attack cripples Kent County government's computer network,1
"Hayward hacked: City suffers cyberattack, turns off website",1
Cyber Incident - Quikcard,1
Personal information 'likely stolen' in Municipality of the County of Kings cyberattack | SaltWire,1
"ZooTampa hit by cyber attack, target unclear | WFLA",1
Town Addresses Cyber Threat,1
"Após ataque cibernético, equipe do TCE-RJ trabalha na normalização dos sistemas | Security Report",1
"La Province de Namur victime d’un hacker : "" Cinq de nos serveurs ont été touchés, une rançon a été demandée "", explique le directeur général",1
Comune di Ferrara | Palazzo Municipale Attacco Hacker Alla Rete Internet Del Comune,1
Departementer utsatt for dataangrep: - Sårbarhet i programvare er utnyttet - Digi.no,1
Morehead State University hit by cyber-attack,1
HEABC announces measures underway following a cyber security attack and potential data breach,1
新加坡专科医学院遭网络攻击 会员个资外泄 - 地方 - 狮城二三事,1
Misstänkt rysk it-attack mot Uppsala universitet: ”Kan öka sårbarheten” | SVT Nyheter,1
TOMRA subject to cyberattack,1
"""Хеликс"" предупредила о задержке выдачи результатов анализов из-за хакерской атаки",1
"Official George County, Miss. computer systems hacked for ransom | WKRG",1
Ortivus' electronic patient record system are down for some United Kingdom based customers due to a cyber-attack,1
The Estée Lauder Companies Inc. Provides Information on Cybersecurity Incident - The Estée Lauder Companies Inc.,1
当社システムへの不正アクセス及びサービス提供への影響に関するお知らせ: ｜THE BODY SHOP (ザボディショップ),1
Cyber-Attack/Virus Incident On Server Of The Company,1
Site do Inpe com dados sobre queimadas é atacado por hackers e fica fora do ar | Vale do Paraíba e Região | G1,1
Note on Information security,1
Piratage informatique : services inaccessibles,1
Hackerangriff: Sensible Daten über Schweizer Botschaften entwendet,1
Tempur Sealy says its IT system was hacked in July - MarketWatch,1
"⚠️ [INFORMATION] 💻 Ce matin,... - Ville d’Angoulême | Facebook",1
"Cyberangriff auf den Radeberger Taubblindendienst: ""Es war der blanke Horror"" | Sächsische.de",1
Notice of unauthorized access,1
SLPSB victimized in ransomware attack | News | theadvocate.com,1
O ciberataque á CRTVG expón datos sensibles a redes criminais globais - Praza Pública,1
Makler und Versicherer betroffen: Cyber-Attacke auf BiPRO-Dienstleister | procontra,1
OODA Loop - CardioComm Takes Systems Offline Following Cyberattack,1
重要なお知らせ詳細 | 重要なお知らせ | セイコーグループ,1
"Ciberataque a Papel Prensa: la empresa informó a la Comisión Nacional de Valores sobre el ""secuestro de datos"" | La Opinión",1
"El PAMI confirmó un ciberataque de ransomware: dio de baja el sitio, pero aseguran que ""fue mitigado""",1
"Cyberattack suspected in computer system outage for Eastern Connecticut Health Network, Waterbury HEALTH - NBC Connecticut",1
Cyber Incident at NSF’s NOIRLab,1
Students 'locked out' as BPP hit by cyber attack | News | Law Gazette,1
Cyber-Angriff auf Aschaffenburger Autozulieferer Joyson,1
Germany’s national bar association investigating ransomware attack,1
Ransomware hits Crozer Health and its owner Prospect Medical Holdings,1
Des pirates s’attaquent à des infrastructures souterraines critiques | La Presse,1
Montreal electricity organization latest victim in LockBit ransomware spree,1
Campbell Soup says summer cyberattack caused limited business impact | Cybersecurity Dive,1
"Hacker verursachen ""technische Störungen"": Cyber-Attacke auf den Trinkwasserverband Stade - Horneburg",1
Ciberataque força suspensão de atividade clínica no Serviço de Saúde da Madeira - Sociedade - Correio da Manhã,1
Russia linked hackers hit UK Ministry of Defence as security secrets leaked,1
Israel hospital hacking disrupts services; Cyberattackers unknown - Israel News - The Jerusalem Post,1
L’école vétérinaire de Nantes touchée par une cyberattaque,1
Cyberangriff auf die grösste sonderpädagogische Einrichtung im Kanton Waadt,1
Bay Area realty agents frustrated after cyber attack hobbles MLS,1
Hackerangriff auf Südtiroler E-Ladestationen-Ausrüster Neogy - Südtirol News,1
Freeport-McMoRan Inc. - Freeport-McMoRan Investigating Cybersecurity Incident,1
Stormous et GhostSec tentent de faire chanter Econocom | LeMagIT,1
"Hackers get social security numbers, other info in Rivers Casino cyberattack - Chicago Sun-Times",1
Exclusive: 300 independent retailers affected by cyber attack | News | Retail Week,1
