Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
France,2023,Ransomware,Education,-1.138479413962604,-0.8383121536749982,Insider,Social Engineering,VPN,-1.2386629251017733
India,2017,DDoS,Government,0.9107367733299728,-0.8916278702059086,Nation-state,Unpatched Software,Firewall,-0.31486815445749267
Japan,2022,Phishing,Telecommunications,-1.0446858268174952,-1.0987954418736674,Nation-state,Weak Passwords,Antivirus,-0.21762659965283154
Brazil,2023,DDoS,Telecommunications,0.04679362062669482,0.6703197926194833,Hacker Group,Social Engineering,VPN,-0.31486815445749267
China,2021,Phishing,Retail,0.01969769545144118,0.42731865060214513,Insider,Zero-day,AI-based Detection,0.7547889483937796
Japan,2022,Malware,Education,0.08847965935785407,0.22701216590255271,Nation-state,Unpatched Software,VPN,0.8034097257961103
Japan,2022,Ransomware,Banking,-0.8449402245640232,1.4935329452615398,Insider,Unpatched Software,Encryption,-0.606592818871476
France,2020,Malware,IT,1.2793108324446403,0.3279553473753807,Unknown,Social Engineering,Antivirus,-1.3359044799064344
Australia,2015,DDoS,Government,1.118819583329677,1.3802232495700708,Hacker Group,Zero-day,Encryption,1.1923759450147546
UK,2022,SQL Injection,Education,0.5470260854006072,0.6008775896249339,Hacker Group,Social Engineering,AI-based Detection,-1.2386629251017733
France,2020,Malware,Telecommunications,-1.1155520926604663,-0.8892304567102446,Hacker Group,Zero-day,AI-based Detection,-0.12038504484817042
India,2015,SQL Injection,IT,-0.2606409150156057,-1.446827441611836,Unknown,Unpatched Software,Encryption,1.1923759450147546
Japan,2022,Phishing,Banking,1.6666436089883299,1.6136312880889319,Nation-state,Zero-day,Antivirus,-0.7524551510784677
Brazil,2023,Phishing,Healthcare,-1.2499895675684554,-1.3484403513624428,Nation-state,Weak Passwords,VPN,-0.46073048666448435
Brazil,2020,Phishing,Banking,-1.137437262994325,0.8101390173961,Hacker Group,Zero-day,Encryption,-0.2662473770551621
China,2020,Man-in-the-Middle,Education,-1.065876229839168,0.752352728361045,Nation-state,Zero-day,Firewall,1.6299629416357297
Japan,2021,SQL Injection,Retail,1.112566677520003,-1.0014363073389616,Insider,Unpatched Software,Encryption,-1.1900421476994427
USA,2022,DDoS,Retail,-0.6240042192888784,-0.9291965470135007,Insider,Weak Passwords,AI-based Detection,1.2409967224170853
Brazil,2016,DDoS,Education,1.6148834442304738,-1.255182691139024,Nation-state,Unpatched Software,VPN,1.6785837190380604
Russia,2015,DDoS,Telecommunications,1.594387808520987,-0.9187031198857167,Unknown,Zero-day,AI-based Detection,-1.6276291443204178
India,2021,SQL Injection,IT,1.6534430300567962,1.1117508827297358,Nation-state,Zero-day,VPN,0.9978928354054325
UK,2019,Man-in-the-Middle,Retail,-0.37249845227755,0.8727615276123362,Nation-state,Unpatched Software,Encryption,1.5813421642333991
USA,2017,DDoS,IT,0.8207644064018875,-0.35038848932796973,Hacker Group,Zero-day,VPN,1.3382382772217463
Australia,2020,DDoS,Banking,1.4748878308249969,1.5115980596166365,Insider,Weak Passwords,Antivirus,-0.8496967058831288
France,2022,Malware,Healthcare,-1.0478122797223324,1.0011249103470823,Unknown,Weak Passwords,AI-based Detection,-0.023143490043509303
Australia,2016,SQL Injection,Government,-0.8046437204572359,-0.08068809485532329,Hacker Group,Unpatched Software,Antivirus,1.3868590546240769
India,2016,DDoS,Education,-1.0241901911080085,0.33807967631030705,Hacker Group,Unpatched Software,VPN,-0.3634889318598232
UK,2018,Man-in-the-Middle,Retail,-1.27951717833636,-0.1695614204701249,Hacker Group,Zero-day,Firewall,0.17133961956581292
Japan,2017,Phishing,Telecommunications,0.8805143952498826,-0.4183887947092997,Hacker Group,Zero-day,VPN,-0.2662473770551621
USA,2023,DDoS,Retail,0.3194897906596956,-1.349009521472924,Hacker Group,Zero-day,VPN,1.6299629416357297
Australia,2019,Malware,Government,-0.999525951525406,1.6548254060244993,Insider,Unpatched Software,Antivirus,-0.94693826068779
UK,2015,Phishing,IT,1.2188660762844594,-1.681484204857935,Hacker Group,Weak Passwords,AI-based Detection,-0.31486815445749267
France,2018,Phishing,Healthcare,0.8551553883550939,0.2642979824128147,Insider,Social Engineering,Encryption,0.7061681709914491
India,2019,Man-in-the-Middle,Education,-1.3788689039789566,1.0168822986178636,Nation-state,Zero-day,AI-based Detection,-0.6552135962738066
India,2020,DDoS,Banking,1.242835548554876,1.3590087272703104,Nation-state,Unpatched Software,AI-based Detection,-1.287283702504104
UK,2021,Malware,Healthcare,0.5769010798246047,0.6697851176672128,Unknown,Weak Passwords,Antivirus,0.9978928354054325
India,2018,DDoS,Healthcare,0.9010100309593694,-0.6917042817624581,Hacker Group,Unpatched Software,Firewall,0.9492720580031019
Brazil,2015,Phishing,Banking,-0.24639818511579303,-1.0799024437215068,Hacker Group,Social Engineering,VPN,1.3868590546240769
Australia,2024,Phishing,Education,1.4877410261004373,-1.419472781150519,Unknown,Unpatched Software,VPN,-1.0928005928947817
India,2019,Phishing,Healthcare,-0.5173574368683289,-1.6004585277361343,Nation-state,Zero-day,VPN,-0.606592818871476
China,2015,Phishing,Government,-0.2696728900740238,-0.6695859863175696,Nation-state,Zero-day,Firewall,1.3868590546240769
India,2024,DDoS,Education,0.7947106321949129,-0.09991569604213063,Nation-state,Social Engineering,Firewall,0.7547889483937796
UK,2018,Malware,Retail,0.788110342729146,-0.34710455026628323,Unknown,Weak Passwords,Antivirus,-0.21762659965283154
China,2024,Malware,Education,0.759277499273427,-1.2830754760684326,Hacker Group,Zero-day,Firewall,0.9006512806007714
UK,2016,DDoS,Banking,1.2918166440639887,-0.5805815791015663,Nation-state,Social Engineering,Firewall,-1.2386629251017733
Australia,2022,Malware,Healthcare,0.5789853817611628,0.21301748021635297,Unknown,Weak Passwords,Encryption,1.2896174998194159
Russia,2017,Man-in-the-Middle,Education,1.1441785902244659,-0.6590408164524691,Nation-state,Weak Passwords,Antivirus,-0.9955590380901205
France,2016,DDoS,Banking,-0.7584416941968675,1.6948156429385033,Unknown,Zero-day,VPN,-0.4121097092621538
China,2021,Phishing,Healthcare,0.15795639057645305,1.2656820767304697,Insider,Unpatched Software,Firewall,-0.3634889318598232
Brazil,2015,DDoS,IT,-0.24257696489877012,1.5038918412723008,Unknown,Weak Passwords,AI-based Detection,0.21996039696814348
USA,2015,Ransomware,Telecommunications,-1.0339169334786125,-0.7156887652665613,Nation-state,Social Engineering,Firewall,1.4354798320264075
UK,2019,Phishing,IT,0.9621495544317362,-1.643222175370302,Insider,Unpatched Software,Antivirus,1.2896174998194159
Brazil,2022,Phishing,Telecommunications,-0.7459358825775196,-0.1652357276304664,Nation-state,Zero-day,Encryption,-1.287283702504104
Germany,2018,Ransomware,Banking,1.2876480401908725,1.4775789345889556,Nation-state,Unpatched Software,VPN,-0.5579720414691455
Australia,2023,Phishing,Telecommunications,-0.8977425402901584,-0.9768067643763129,Nation-state,Zero-day,AI-based Detection,0.9492720580031019
France,2017,Phishing,Banking,-1.1329212754651161,-1.6837056930467231,Hacker Group,Unpatched Software,Encryption,-1.1900421476994427
USA,2022,Ransomware,Education,-1.0241901911080085,0.976447074162938,Nation-state,Weak Passwords,Antivirus,-1.3359044799064344
Russia,2022,SQL Injection,Banking,0.3389432754009034,0.5444469603075709,Unknown,Social Engineering,Firewall,0.17133961956581292
Brazil,2018,Malware,Education,-1.5237278885697352,-0.7939927744055149,Hacker Group,Zero-day,Encryption,-0.8010759284807982
France,2024,Phishing,Government,-1.552560732025454,0.013676859946668347,Hacker Group,Unpatched Software,Firewall,1.4354798320264075
Brazil,2021,DDoS,IT,0.6866743151499914,0.8126123202398282,Unknown,Weak Passwords,Encryption,1.6299629416357297
Australia,2024,Malware,Healthcare,0.4025144844659214,1.6034034736793725,Hacker Group,Social Engineering,AI-based Detection,-1.5303875895157566
Germany,2016,Man-in-the-Middle,Healthcare,1.3793573253994234,0.9479609725123003,Nation-state,Social Engineering,AI-based Detection,0.8520305031984408
Japan,2019,Malware,Banking,-0.21964964359663233,0.3466137784517066,Insider,Weak Passwords,Encryption,-0.46073048666448435
France,2023,Malware,Government,0.162819761761755,-0.7924853359916945,Insider,Zero-day,Encryption,1.4354798320264075
Japan,2019,Man-in-the-Middle,Banking,-0.3186539855831359,0.4843563947040216,Nation-state,Zero-day,Firewall,-0.023143490043509303
UK,2015,DDoS,Telecommunications,-0.6104562567012516,-1.1970031573003637,Nation-state,Unpatched Software,Antivirus,1.5327213868310685
Brazil,2022,DDoS,Retail,-1.2274096299224106,-1.1992246454891515,Nation-state,Social Engineering,AI-based Detection,1.5813421642333991
India,2020,SQL Injection,Education,0.41710459802182726,0.1585806710435854,Nation-state,Weak Passwords,Encryption,-1.5790083669180872
Australia,2017,SQL Injection,Healthcare,0.6397775215774368,0.4462426943966958,Hacker Group,Unpatched Software,Firewall,1.4354798320264075
UK,2023,DDoS,Banking,1.068796336852286,0.1476767515330906,Nation-state,Weak Passwords,AI-based Detection,-1.6276291443204178
UK,2024,DDoS,Healthcare,0.2715508461188625,-0.05860774408446686,Hacker Group,Weak Passwords,Antivirus,0.21996039696814348
France,2023,Man-in-the-Middle,Retail,1.3255128587050091,-0.26774153977025233,Hacker Group,Unpatched Software,Antivirus,0.2685811743704741
Australia,2023,Malware,Telecommunications,-1.7015883204893487,1.553033643659681,Hacker Group,Unpatched Software,AI-based Detection,0.9006512806007714
UK,2020,Ransomware,Banking,-0.043873513613577074,-1.297328875441215,Nation-state,Weak Passwords,Firewall,0.8034097257961103
Germany,2024,Phishing,Healthcare,1.182390792394695,-1.0874741309488196,Nation-state,Social Engineering,Firewall,-1.7248706991250788
France,2021,DDoS,Healthcare,1.3942948226114218,0.34027011885670505,Nation-state,Unpatched Software,AI-based Detection,-1.044179815492451
UK,2021,DDoS,Education,1.0340579712429865,-0.786803983434344,Nation-state,Social Engineering,Encryption,-0.023143490043509303
Japan,2023,Malware,Education,-0.9595768310747115,1.6233347760936843,Insider,Unpatched Software,Firewall,0.608926616186788
India,2018,Ransomware,Retail,-0.927617534714156,-0.06165711607031862,Hacker Group,Unpatched Software,Antivirus,-1.2386629251017733
Japan,2021,Ransomware,IT,-0.5232629590219099,1.603448317385047,Hacker Group,Weak Passwords,Firewall,-0.5579720414691455
Australia,2022,Malware,Banking,0.8433443440479319,-1.217972763976826,Insider,Zero-day,Encryption,-0.8983174832854594
Japan,2022,SQL Injection,IT,0.561616198956513,0.8446514231861982,Unknown,Social Engineering,AI-based Detection,-0.31486815445749267
Brazil,2015,Malware,Retail,0.9600652524951782,-1.4934372993865295,Hacker Group,Unpatched Software,VPN,-0.07176426744583986
Germany,2018,Phishing,Banking,-1.3583732682694696,1.6040243865271704,Hacker Group,Weak Passwords,Antivirus,0.21996039696814348
Germany,2020,SQL Injection,Education,1.2973747825614765,1.1653218634314075,Unknown,Weak Passwords,Antivirus,-0.8496967058831288
Brazil,2023,Man-in-the-Middle,IT,-1.400406690656722,1.4805282706159955,Nation-state,Social Engineering,Encryption,0.21996039696814348
UK,2019,Malware,Education,-1.600499676566287,-0.38267595741345894,Nation-state,Unpatched Software,AI-based Detection,-1.287283702504104
Brazil,2020,DDoS,Banking,0.9201161320444841,0.7032350725844125,Unknown,Weak Passwords,Encryption,0.02547728735882126
Japan,2020,DDoS,Healthcare,0.7901946446657037,-1.2691532302144761,Unknown,Zero-day,VPN,0.21996039696814348
Russia,2018,Malware,Telecommunications,-1.4723151074679721,0.804681883367121,Unknown,Social Engineering,VPN,-0.07176426744583986
Japan,2020,Man-in-the-Middle,Banking,-0.9359547424603879,-1.3653119332434394,Insider,Unpatched Software,Antivirus,0.7061681709914491
Australia,2016,Phishing,Banking,1.469329692327509,-0.7567311045060005,Nation-state,Unpatched Software,VPN,0.9006512806007714
USA,2021,Malware,Retail,0.7162019259178959,1.5770629708694586,Hacker Group,Unpatched Software,Antivirus,0.9978928354054325
Australia,2023,Man-in-the-Middle,Banking,0.23785463147784203,-0.11363097094682133,Unknown,Zero-day,Firewall,-0.3634889318598232
UK,2024,Phishing,Government,1.068796336852286,1.6875682101983738,Unknown,Weak Passwords,Firewall,-0.5579720414691455
China,2024,Ransomware,Telecommunications,-1.4997584162993185,-1.1229144564947935,Nation-state,Social Engineering,AI-based Detection,-0.12038504484817042
Germany,2022,Man-in-the-Middle,Healthcare,0.20068458027589156,0.6707406335496574,Nation-state,Unpatched Software,Encryption,-0.5579720414691455
Russia,2021,Malware,IT,1.1556422508755346,1.4360295165238148,Insider,Social Engineering,Encryption,-0.606592818871476
UK,2023,SQL Injection,Banking,1.2209503782210176,1.2801355480208756,Nation-state,Unpatched Software,Firewall,-0.023143490043509303
Russia,2016,Malware,Retail,0.37854501219550485,-0.308421679848476,Hacker Group,Weak Passwords,Encryption,0.17133961956581292
Russia,2023,Ransomware,Banking,-0.2901685257835103,-0.9741126925200343,Hacker Group,Social Engineering,VPN,0.07409806476115181
France,2021,Man-in-the-Middle,Retail,1.5252584609584812,-0.5091214093516738,Unknown,Unpatched Software,VPN,1.6785837190380604
Australia,2021,Malware,Telecommunications,1.1876015472360901,0.7023450975025689,Hacker Group,Zero-day,AI-based Detection,0.8520305031984408
Russia,2024,Malware,Banking,1.4880884097565306,0.04458797121953891,Nation-state,Social Engineering,Firewall,-0.07176426744583986
Germany,2023,Malware,Government,0.693621988271851,-0.46872412957078025,Hacker Group,Unpatched Software,VPN,-0.6552135962738066
China,2023,Man-in-the-Middle,Healthcare,-0.06193746373041267,-0.28801089473503166,Nation-state,Unpatched Software,Firewall,1.2409967224170853
India,2018,Phishing,IT,0.643946125450553,-0.7676729686905274,Hacker Group,Unpatched Software,Encryption,0.02547728735882126
China,2018,Malware,IT,-0.04526304823794902,-1.3354494747801828,Insider,Social Engineering,Encryption,-0.7038343736761371
France,2016,Phishing,Government,-0.8091597079864448,0.11121536930407132,Unknown,Zero-day,Encryption,1.2409967224170853
France,2023,Ransomware,Retail,0.4719912156845204,-0.9196965804421934,Unknown,Unpatched Software,VPN,1.1923759450147546
Japan,2022,Malware,Telecommunications,-0.41800571122573243,-1.603576890038408,Insider,Social Engineering,VPN,-0.21762659965283154
India,2018,DDoS,Government,1.055943141576845,-0.813147935760079,Nation-state,Zero-day,Antivirus,0.5116850613821269
France,2015,Malware,Education,-1.206566610556831,-1.7394533182315084,Nation-state,Unpatched Software,Antivirus,1.046513612807763
USA,2021,SQL Injection,Telecommunications,1.102839935149399,1.6498512042104743,Unknown,Unpatched Software,Encryption,1.3382382772217463
Germany,2021,Malware,Government,1.119514350641863,-0.9830469384966815,Nation-state,Social Engineering,Firewall,-0.16900582225050098
Japan,2016,Man-in-the-Middle,Retail,-1.0954038406070725,0.09059416372553988,Nation-state,Unpatched Software,VPN,-1.1900421476994427
UK,2017,SQL Injection,IT,0.10063808732110893,0.24638464675384622,Insider,Unpatched Software,Antivirus,0.02547728735882126
UK,2017,Man-in-the-Middle,Government,-0.05533717426464585,-1.1298203871686343,Unknown,Zero-day,Antivirus,1.5327213868310685
France,2017,SQL Injection,Healthcare,0.3570072255177393,-1.0090079945662744,Hacker Group,Social Engineering,Encryption,-1.6762499217227482
Germany,2021,DDoS,Banking,1.4154852256330945,-1.7106050174196552,Hacker Group,Unpatched Software,Encryption,0.9006512806007714
USA,2015,Phishing,Education,-0.317264450958764,-0.7345990109978275,Insider,Social Engineering,Encryption,-0.2662473770551621
Germany,2022,DDoS,IT,0.9618021707756436,1.666005286800682,Hacker Group,Social Engineering,VPN,1.7272044964403908
China,2022,Ransomware,Telecommunications,-1.1926712643131112,-0.9258505166670344,Unknown,Social Engineering,Antivirus,0.07409806476115181
USA,2020,Man-in-the-Middle,Telecommunications,-1.2110825980860398,-1.0170246693345093,Nation-state,Zero-day,VPN,-1.7248706991250788
Australia,2020,DDoS,Retail,-0.4933879645979124,0.8656106813151974,Unknown,Zero-day,Antivirus,0.6575473935891185
France,2015,SQL Injection,Retail,0.3792397795076907,0.655959458256247,Insider,Unpatched Software,Antivirus,0.31720195177280464
France,2018,SQL Injection,Retail,0.1121017479721777,1.0043157124815991,Nation-state,Unpatched Software,Encryption,1.1923759450147546
Brazil,2020,DDoS,Retail,-1.1495956909575797,-0.5603087746209658,Unknown,Weak Passwords,Encryption,-0.7038343736761371
USA,2016,Phishing,Retail,0.8839882318108123,0.4622656953857019,Nation-state,Weak Passwords,AI-based Detection,-0.07176426744583986
USA,2018,Phishing,Banking,0.18783138500045057,0.39300976624549183,Insider,Zero-day,VPN,0.7061681709914491
Brazil,2023,SQL Injection,Retail,0.21770637942444812,0.9304788263309691,Hacker Group,Social Engineering,AI-based Detection,-0.7524551510784677
Australia,2023,DDoS,Government,0.8947571251496953,1.3659284560074356,Insider,Unpatched Software,Encryption,1.3382382772217463
India,2019,Phishing,Telecommunications,0.8593239922282099,-1.252371335744828,Insider,Unpatched Software,AI-based Detection,1.3382382772217463
Germany,2024,Phishing,IT,-1.617521475714844,1.176632825808792,Unknown,Unpatched Software,VPN,1.5813421642333991
Australia,2015,Malware,Retail,1.6992976726610713,-1.3268084376483291,Insider,Zero-day,Antivirus,-1.1900421476994427
USA,2016,Malware,Retail,-0.6114984076695306,1.3461765284158211,Unknown,Social Engineering,AI-based Detection,-0.2662473770551621
Japan,2017,SQL Injection,Healthcare,-1.001610253461964,-0.7834855492144465,Unknown,Social Engineering,AI-based Detection,0.41444350657746576
Australia,2024,Ransomware,Education,1.2285928186550634,-0.1506477252230376,Insider,Unpatched Software,AI-based Detection,0.07409806476115181
Russia,2021,SQL Injection,Telecommunications,1.0330158202747073,0.3263478730027484,Nation-state,Social Engineering,Firewall,0.9006512806007714
Australia,2016,Man-in-the-Middle,Government,-0.6451946223105511,-1.1765682255761716,Hacker Group,Unpatched Software,VPN,-0.5093512640668149
UK,2021,SQL Injection,Government,-0.3982048428284317,1.6609827917651616,Nation-state,Weak Passwords,Encryption,-1.2386629251017733
France,2024,Ransomware,Retail,1.6860970937295376,-0.5370072952494402,Nation-state,Zero-day,Encryption,-0.8010759284807982
Germany,2022,SQL Injection,Retail,-0.8821102757659736,0.18966425810751092,Unknown,Zero-day,Antivirus,1.5813421642333991
Russia,2018,DDoS,Healthcare,0.5828066019781857,-0.5831618169357485,Hacker Group,Weak Passwords,Antivirus,-0.8010759284807982
Germany,2016,Ransomware,Education,-0.7157135044974291,-0.4116001475733763,Unknown,Unpatched Software,Firewall,-0.7038343736761371
USA,2021,Man-in-the-Middle,Education,-1.201008472059343,1.5216120040452878,Insider,Zero-day,Firewall,-0.21762659965283154
Russia,2016,SQL Injection,Telecommunications,1.5784081603407094,0.31482304064445576,Nation-state,Social Engineering,AI-based Detection,-1.2386629251017733
Japan,2022,DDoS,Education,-1.3159924622261243,0.8694085982342277,Nation-state,Weak Passwords,VPN,-1.044179815492451
Australia,2024,Ransomware,Government,-0.36728769743615514,0.3095590795014583,Hacker Group,Social Engineering,Antivirus,0.8520305031984408
China,2015,Malware,Retail,-1.0815084943633528,-0.16176206519861944,Hacker Group,Zero-day,Encryption,0.12271884216348238
China,2024,Ransomware,Telecommunications,0.6939693719279442,0.15403075967555546,Unknown,Social Engineering,Antivirus,1.2896174998194159
France,2023,Malware,Healthcare,0.09890116904064405,0.7243875035993932,Unknown,Unpatched Software,Firewall,-0.12038504484817042
India,2022,Malware,Government,1.1691902134631613,1.190292908460345,Hacker Group,Social Engineering,Antivirus,0.7061681709914491
Brazil,2019,SQL Injection,Banking,-0.7938748271183529,1.1092672313385443,Nation-state,Zero-day,VPN,0.6575473935891185
UK,2017,DDoS,IT,-1.4410505784196026,0.3893084357694523,Unknown,Zero-day,Antivirus,0.31720195177280464
USA,2017,SQL Injection,Banking,-1.4386188928269517,1.3481496514654898,Unknown,Social Engineering,AI-based Detection,0.7547889483937796
UK,2020,SQL Injection,Healthcare,0.6046917723120447,-1.7332131441111398,Unknown,Social Engineering,Antivirus,0.41444350657746576
Japan,2022,Phishing,Government,0.716549309573989,-1.476075886258937,Unknown,Unpatched Software,Firewall,0.2685811743704741
China,2019,Ransomware,Retail,-1.54283398965485,-1.1363503206179753,Nation-state,Zero-day,VPN,1.3382382772217463
Australia,2016,Man-in-the-Middle,Healthcare,1.4019372630454676,0.8336957609383869,Insider,Unpatched Software,Antivirus,-0.31486815445749267
Australia,2017,Malware,Healthcare,0.9319271763516455,0.20359685250893086,Nation-state,Unpatched Software,AI-based Detection,-0.07176426744583986
India,2022,DDoS,Healthcare,-1.336835481591704,-0.8613583688757624,Insider,Unpatched Software,AI-based Detection,1.046513612807763
Russia,2021,Malware,Education,-1.7352845351303692,1.2586933576769226,Unknown,Unpatched Software,Antivirus,-0.9955590380901205
Russia,2015,Malware,IT,1.5575651409751294,-0.7660896409286428,Unknown,Zero-day,VPN,-0.7524551510784677
Brazil,2023,Malware,Telecommunications,0.42648395673633827,-0.2830711880792175,Nation-state,Zero-day,AI-based Detection,0.9006512806007714
Brazil,2021,Malware,Healthcare,1.131325394949025,1.4937537142740902,Unknown,Unpatched Software,Encryption,0.9492720580031019
India,2021,Man-in-the-Middle,Telecommunications,0.7346132596908246,-0.3056517186441333,Insider,Social Engineering,VPN,0.12271884216348238
Australia,2019,Man-in-the-Middle,Banking,-0.0980653639640841,-1.353490442524532,Insider,Social Engineering,Firewall,1.2896174998194159
Australia,2017,Man-in-the-Middle,Telecommunications,1.0152992538139645,1.01859670798095,Insider,Zero-day,Firewall,1.2896174998194159
Japan,2018,Man-in-the-Middle,Retail,-0.1175188487052919,0.6413024655323962,Hacker Group,Social Engineering,Antivirus,1.6785837190380604
India,2017,Man-in-the-Middle,Government,0.6668734467526906,0.720034214633166,Hacker Group,Unpatched Software,AI-based Detection,1.6299629416357297
Australia,2022,Man-in-the-Middle,Healthcare,1.0705332551327507,0.699150845852231,Hacker Group,Zero-day,Antivirus,0.07409806476115181
Brazil,2016,Malware,Healthcare,1.1598108547486503,-1.2060374392358226,Unknown,Unpatched Software,Antivirus,-0.3634889318598232
Russia,2022,Phishing,Banking,1.1990652078871589,1.4449120197631455,Insider,Weak Passwords,Encryption,0.21996039696814348
Germany,2022,DDoS,Telecommunications,-1.0401698392882863,-0.9154019332449247,Nation-state,Social Engineering,AI-based Detection,-1.481766812113426
Russia,2023,Ransomware,Telecommunications,0.33303775324732243,1.275633929874341,Hacker Group,Weak Passwords,Antivirus,0.5603058387844574
Russia,2016,SQL Injection,Healthcare,-0.12307698720277971,-1.4273721723808364,Unknown,Social Engineering,VPN,-0.3634889318598232
China,2015,Man-in-the-Middle,Retail,-0.11439239580045484,0.08592351930377147,Hacker Group,Zero-day,VPN,1.3382382772217463
Germany,2018,Phishing,Government,-0.12411913817105873,0.36398209061094144,Nation-state,Weak Passwords,VPN,1.7272044964403908
USA,2021,DDoS,Telecommunications,-1.685261288652978,1.2381652890255608,Hacker Group,Weak Passwords,Firewall,-0.606592818871476
USA,2018,Malware,Healthcare,-1.2579793916585942,0.8661281086883622,Insider,Weak Passwords,Antivirus,0.3658227291751352
Japan,2021,SQL Injection,Telecommunications,0.5466787017445145,-1.1750849337730989,Unknown,Social Engineering,Firewall,-1.5303875895157566
Russia,2019,Man-in-the-Middle,Telecommunications,1.5690288016261982,-0.8440659460645918,Nation-state,Weak Passwords,Antivirus,1.046513612807763
UK,2019,Phishing,Retail,1.376925639806772,-0.9393898662648491,Unknown,Social Engineering,Firewall,-0.94693826068779
Germany,2018,Phishing,Telecommunications,1.195243987670136,1.018803678930216,Unknown,Unpatched Software,Encryption,-1.287283702504104
UK,2016,Phishing,Healthcare,0.7189809951666397,1.4500242022100147,Unknown,Unpatched Software,Encryption,0.5603058387844574
Brazil,2016,Malware,IT,1.6951290687879557,-0.797580270859458,Insider,Social Engineering,AI-based Detection,1.4841006094287381
Germany,2024,Malware,Banking,-0.9606189820429906,1.0109974246270683,Insider,Zero-day,Firewall,1.046513612807763
Japan,2022,DDoS,Education,1.1011030168689342,1.3815961568668684,Hacker Group,Weak Passwords,Antivirus,0.02547728735882126
India,2023,Phishing,Telecommunications,-1.3469096076184008,0.02623999656711189,Insider,Zero-day,AI-based Detection,0.7061681709914491
UK,2017,Phishing,Telecommunications,-0.8133283118595608,-0.3030438846833823,Insider,Social Engineering,VPN,-1.3359044799064344
UK,2015,Ransomware,Government,-0.6861858937295245,0.8272658634478579,Nation-state,Unpatched Software,Antivirus,0.31720195177280464
Brazil,2020,Malware,Banking,1.0114780335969416,0.8635685679491066,Nation-state,Weak Passwords,Firewall,-0.46073048666448435
Brazil,2017,Malware,Banking,1.6926973831953045,0.5363923408653041,Insider,Weak Passwords,AI-based Detection,-0.7524551510784677
India,2016,Ransomware,Retail,-0.7299562343972419,-0.3482187438764983,Insider,Zero-day,Firewall,-0.5093512640668149
China,2019,DDoS,Retail,-1.480652315214204,-1.4415565814371964,Nation-state,Weak Passwords,Antivirus,-1.1900421476994427
